NU_CNPJ_EMPRESA;NO_RAZAO_SOCIAL_EMPRESA;NO_PRODUTO;NU_PROCESSO;DS_TIPO_PRODUTO;DS_CATEGORIA_PRODUTO;DT_FINALIZACAO_PROCESSO;DT_VENCIMENTO_REGISTRO;ST_SITUACAO_REGISTRO
20901675000119;IBC-INDUSTRIA BRASILEIRA DE CIGARROS LTDA;R 8 Y BLUE;25351344053201907;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;04/06/2021 00:00:00;Inativo
20901675000119;IBC-INDUSTRIA BRASILEIRA DE CIGARROS LTDA;R 8 Y RED;25351823706202045;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;09/08/2021 00:00:00;Inativo
18044630000123;HBT INDUSTRIA E COMERCIO DE TABACOS LTDA;RAINBOW;25351159337201533;DERIVADOS DO TABACO;FUMO DESFIADO;;08/17/2017 00:00:00;Inativo
18044630000123;HBT INDUSTRIA E COMERCIO DE TABACOS LTDA;RAINBOW GOLDEN BROWN;25351193962201700;DERIVADOS DO TABACO;FUMO DESFIADO;;01/27/2021 00:00:00;Inativo
18044630000123;HBT INDUSTRIA E COMERCIO DE TABACOS LTDA;RAINBOW GOLDEN BROWN;25351849836202351;DERIVADOS DO TABACO;FUMO DESFIADO;;02/26/2025 00:00:00;Ativo
18044630000123;HBT INDUSTRIA E COMERCIO DE TABACOS LTDA;RAINBOW SILVER BRIGHT;25351468340201731;DERIVADOS DO TABACO;FUMO DESFIADO;;09/16/2020 00:00:00;Inativo
18044630000123;HBT INDUSTRIA E COMERCIO DE TABACOS LTDA;RAINBOW SILVER BRIGHT;25351849835202314;DERIVADOS DO TABACO;FUMO DESFIADO;;04/08/2025 00:00:00;Ativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;RAMON ALLONES;25351505511201011;DERIVADOS DO TABACO;CHARUTO;;11/29/2011 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;RAMON ALLONES;25351337087201353;DERIVADOS DO TABACO;CHARUTO;;11/26/2014 00:00:00;Inativo
08201306000118;emporium cigars importação e comercialização de tabacos ltda;RAMON ALLONES SPECIALLY SELECTED;25351726816201185;DERIVADOS DO TABACO;CHARUTO;;05/21/2013 00:00:00;Inativo
30615010000100;p.b.p. marquez industria e comercio de tabacos;RATTRAY''S TOWER BRIDGE;25351866827202162;DERIVADOS DO TABACO;FUMO PARA CACHIMBO;;03/29/2022 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;RAW BRIGHT LEAF BLOND;25351394061201813;DERIVADOS DO TABACO;FUMO DESFIADO;;11/04/2021 00:00:00;Inativo
17121200000103;RC PREMIUM COMERCIO IMPORTADORA E EXPORTADORA EIRELLI - EPP;RAW CLASSIC;25351394056201801;DERIVADOS DO TABACO;FUMO DESFIADO;;02/13/2022 00:00:00;Inativo
08751352000271;AMERICAN BLEND IMP., EXPORTAÇÃO, INDUSTRIA & COM. DE TABACOS LTDA;REAL GOLD;25351615588201001;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/17/2014 00:00:00;Inativo
08751352000271;AMERICAN BLEND IMP., EXPORTAÇÃO, INDUSTRIA & COM. DE TABACOS LTDA;REAL GOLD FILTRO AMARELO;25351311348201297;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;09/19/2013 00:00:00;Inativo
08751352000271;AMERICAN BLEND IMP., EXPORTAÇÃO, INDUSTRIA & COM. DE TABACOS LTDA;REAL GOLD FILTRO AMARELO;25351021618201375;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;10/17/2014 00:00:00;Inativo
11816308000126;QUALITY IN TABACOS INDUSTRIA E COMERCIO DE CIGARROS E IMPORTAÇÃO E EXPORTAÇÃO LTDA;RECORD;25069699897201514;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;11/20/2019 00:00:00;Inativo
11816308000126;QUALITY IN TABACOS INDUSTRIA E COMERCIO DE CIGARROS E IMPORTAÇÃO E EXPORTAÇÃO LTDA;RECORD RED;25069809432201643;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;02/22/2017 00:00:00;Inativo
27839998000179;ELITE TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA  ME;ZOMO IBIZA SENSATIONS;25351667560201916;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;01/27/2021 00:00:00;Inativo
27839998000179;ELITE TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA  ME;ZOMO IGUASSU FALLS;25069504159201791;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;05/07/2019 00:00:00;Inativo
27839998000179;ELITE TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA  ME;ZOMO KEV;25351027249202065;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;03/23/2021 00:00:00;Inativo
27839998000179;ELITE TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA  ME;ZOMO KIWI;25351661472202036;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;08/10/2021 00:00:00;Inativo
11259590000198;MM RIO IMPOTAÇÃO E DISTRIBUIÇÃO LTDA;ZOMO KIWI WITH LEMON;25351473852201515;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;02/22/2017 00:00:00;Inativo
27839998000179;ELITE TRADE IMPORTAÇÃO E EXPORTAÇÃO LTDA  ME;ZOMO KIWI WITH LEMON;25351823849201832;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;02/25/2020 00:00:00;Inativo
